query,intent,answer,sim_result
안녕,인사,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),NO
CCC에 대해 알려줘,소개,CCC는 기독교 동아리입니다. Campus Crusade for Christ 라는 뜻을 가지고 있으며 한국대학생 선교회라고도 합니다. Movements everywhere, 모든 곳에 영적 운동을 일으켜서 주님의 지상명령성취에 동참하는 것을 가장 큰 비전으로 삼고 있습니다. CCC는 캠퍼스에서 하나님을 인격적으로 만나고, 주님의 평생 제자로 살아갈 수 있도록 훈련하여 민족과 세계 복음화를 비전으로 하는 기독교 동아리이며, 학교에서 정식으로 인정받은 건강한 공식 기독교 선교단체 입니다.,True
뭐해?,욕설,부적절한 질문이거나 답변할 수 없습니다.,NO
운동 관련 동아리 추천해줘,종류,강릉원주대학교 원주캠퍼스의 운동 관련 동아리는 댄스동아리인 뉴를리, 치어리딩동아리인 루시우스, 볼링동아리인 핀액션, 테니스동아리인 에이스, 농구 동아리인 스핀이 있습니다.,True
동아리 탈퇴 어떻게 해,기타,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주시면 궁금하신 부분에 대해서 알려드릴게요. :),NO
비밀번호 바꾸고 싶어,기타,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주시면 궁금하신 부분에 대해서 알려드릴게요. :),NO
동아리 처음인데 어떤 동아리가 좋을까,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
컴공 관련한 취업/학습 동아리 추천해줘,종류,강릉원주대학교 원주캠퍼스의 치어리딩 동아리는 루시우스가 있습니다.,True
중앙동아리 어떻게 등록해?,생성,동아리 생성 및 승급 관련 안내 링크입니다. :) https://gwnuclubs.modoo.at/?link=9wijj90u,True
우리학교 중앙동아리 어떤거있어,분류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
2024년 3월 이벤트가뭐야,기타,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,NO
10명이하 소모임추천해줘,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
회비가 얼마인가요?,회비,RCY 동아리 회비는 해당 동아리에 직접 문의 부탁드립니다,True
인원수는 몇명인가요?,기타,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),NO
어떤 학과 학생이 많나요?,기타,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,NO
이 동아리의 주요 행사가 어떤건가요?,종류,강릉원주대학교 원주캠퍼스의 밴드 동아리는 페르마타와 프레이즈가 있습니다.,True
동아리 가입 조건이 뭔가요?,가입방법,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 주요 행사가 어떤 건가요?,기타,답변할 수 없는 질문입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요.,NO
페르마타 가입조건이 뭔가요?,가입방법,페르마타는 동아리회장 번호로 신청양식을 보내 가입신청 할 수 있습니다.,True
친목을 다질 수 있는 동아리인가요?,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
동아리 분위기가 어떤가요?,가입방법,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
처음 악기를 배우는 사람도 신청 가능한가요?,가입방법,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 동아리방 위치가 어디인가요,위치,페르마타 동아리방 위치는 W11 학생복지관 228호 입니다.,True
페르마타는 어떤 대외활동을 해?,활동,페르마타 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),True
페르마타 가입조건,가입방법,페르마타는 동아리회장 번호로 신청양식을 보내 가입신청 할 수 있습니다.,True
페르마타에 가입하려면 어떻게 해야하나요,가입방법,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타에서 어떤 활동을 하나요,활동,페르마타 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),True
페르마타에 참여하면 혜택이 있나요?,종류,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 활동일정이 어떻게 되나요,활동,페르마타 활동내용은 해당 동아리에 직접 문의하여 주시기 바랍니다. :),True
페르마타 장소는 어디인가요,위치,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타 분위기 어때요,기타,강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주시면 궁금하신 부분에 대해서 알려드릴게요. :),NO
페르마타 이벤트,소개,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타에서는 어떤 이벤트를 하고 있나요,소개,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타는 주로 언제 진행되나요,위치,죄송해요 무슨 말인지 모르겠어요. 조금 더 공부 할게요.,False
페르마타에 대한 자세한 정보를 알고싶어요. 어디서 찾을 수 있나요?,소개,어떤 동아리에 대해 궁금하신가요? 동아리 이름과 궁금한 정보에 관해 질문주시면 답해드릴게요. :),True
